영양소,한줄설명,자세한설명,혜택라벨(요약),대표식품(쉼표로구분)
단백질,근육·포만감,"근육 유지·회복, 포만감 유지에 도움.",근육·포만감,"닭가슴살, 두부, 연어, 계란"
식이섬유,장건강·포만감·혈당완화,"배변 규칙성, 포만감, 혈당 급상승 완화.",장건강·포만감·혈당완화,"현미밥, 귀리, 브로콜리, 양배추"
칼슘,뼈·치아,뼈·치아 건강과 근육/신경 기능.,뼈·치아,"두부, 요거트, 브로콜리, 아몬드"
비타민D,뼈·면역,"칼슘 흡수, 뼈 건강과 면역에 도움.",뼈·면역,"계란, 연어, 버섯(일광 건조)"
비타민C,면역·철흡수,"면역, 철 흡수, 항산화.",면역·철흡수,"브로콜리, 양배추, 키위, 파프리카"
오메가3,심혈관·염증완화,"심혈관·뇌 건강, 염증 균형.",심혈관·염증완화,"연어, 고등어, 호두"
칼륨,붓기·혈압,나트륨 배출로 붓기·혈압 조절.,붓기·혈압,"아보카도, 바나나, 감자, 시금치"
마그네슘,긴장완화·수면,"근육 이완, 수면·긴장 완화, 에너지 대사.",긴장완화·수면,"현미밥, 시금치, 견과류"
비타민E,항산화·피부,"항산화(세포 보호), 피부 컨디션.",항산화·피부,"올리브유, 아몬드, 아보카도"
비타민A,눈·피부,야간 시력·피부·점막 보호.,눈·피부,"당근, 시금치, 호박"
비타민B,에너지대사,에너지 생성·피로 완화(복합군).,에너지대사,"버섯, 통곡물, 달걀"
저당,혈당완화,식후 혈당 변동 완화.,혈당완화,"채소 위주 반찬, 무가당 요거트"
저염,붓기·혈압,붓기 완화·혈압 관리.,붓기·혈압,"구운/찐 조리, 허브·레몬 활용"
건강한지방,포만감·흡수,포만감·지용성 비타민 흡수.,포만감·흡수,"올리브유, 아보카도, 견과류"
